opportunityID,status,comments,smes,etc,category,objective,title
"OP456791","Hot","Great potential","Vaibhav, Raj","15/02/2024","Real Estate","Increase property sales","Smart Property Solutions"
"OP456792","Cold","Not interested","Prasanna, Keerthana","20/03/2024","Utilities","Optimize energy consumption","Energy Efficiency Solutions"
"OP456793","Warm","Positive feedback","Shiva","10/04/2024","Oil & Gas","Enhance drilling operations","Advanced Drilling Technologies"
"OP456794","Hot","Exploring possibilities","Vaibhav, Raj, Prasanna","25/05/2024","Tech","Improve software development","Agile Development Solutions"
"OP456795","Cold","No budget","Keerthana, Shiva","15/06/2024","AI & ML","Implement machine learning","Smart AI Solutions"
"OP456796","Warm","Interested but uncertain","Vaibhav, Raj, Prasanna","30/07/2024","Real Estate","Streamline property management","Property Management Suite"
"OP456797","Hot","Positive discussions","Shiva","18/08/2024","Utilities","Automate utility services","Smart Utilities Automation"
"OP456798","Cold","Considering alternatives","Keerthana","05/09/2024","Oil & Gas","Enhance refinery processes","Refinery Optimization Solutions"
"OP456799","Warm","Exploring collaboration","Prasanna, Shiva","22/10/2024","Tech","Develop innovative solutions","Innovation Hub"
"OP456800","Hot","Ready for proposal","Vaibhav, Raj","10/11/2024","AI & ML","Implement AI-driven solutions","Smart AI Integration"